Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bhutan,2012,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,497.716611
Bhutan,2012,Bangladesh,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.910109
Bhutan,2012,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.335984
Bhutan,2012,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.125911
Bhutan,2012,Nepal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.008435
Bhutan,2012,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,781.471333
Bhutan,2012,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30.986223
Bhutan,2012,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.845497
Bhutan,2012,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23.548695
Bhutan,2012,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17.552077
Bhutan,2012,World,Fuels,Export,Export(US$ Mil),174.862131
Bhutan,2012,World,Metals,Export,Export(US$ Mil),209.741679
Bhutan,2012,World,Plastic or Rubber,Export,Export(US$ Mil),6.191922
Bhutan,2012,World,Transportation,Export,Export(US$ Mil),
Bhutan,2012,World,Vegetable,Export,Export(US$ Mil),30.06643
Bhutan,2012,World,Textiles and Clothing,Export,Export(US$ Mil),0.886269
Bhutan,2012,World,Intermediate goods,Export,Export(US$ Mil),448.106165
Bhutan,2012,World,Food Products,Export,Export(US$ Mil),8.941855
Bhutan,2012,World,Footwear,Export,Export(US$ Mil),0.001163
Bhutan,2012,World,Consumer goods,Export,Export(US$ Mil),22.54428
Bhutan,2012,World,Chemicals,Export,Export(US$ Mil),30.690684
Bhutan,2012,World,Mach and Elec,Export,Export(US$ Mil),0.117652
Bhutan,2012,World,Minerals,Export,Export(US$ Mil),59.989459
Bhutan,2012,World,Stone and Glass,Export,Export(US$ Mil),2.368656
Bhutan,2012,World,Capital goods,Export,Export(US$ Mil),0.069084
Bhutan,2012,World,Animal,Export,Export(US$ Mil),0.107844
Bhutan,2012,World,Wood,Export,Export(US$ Mil),6.920502
Bhutan,2012,World,Raw materials,Export,Export(US$ Mil),60.495862
Bhutan,2012,World,Hides and Skins,Export,Export(US$ Mil),0.001196
Bhutan,2012,World,Miscellaneous,Export,Export(US$ Mil),0.339595
Bhutan,2012,World,Intermediate goods,Import,Import(US$ Mil),312.875659
Bhutan,2012,World,Consumer goods,Import,Import(US$ Mil),371.687778000001
Bhutan,2012,World,Capital goods,Import,Import(US$ Mil),188.239965
Bhutan,2012,World,Raw materials,Import,Import(US$ Mil),110.682579
Bhutan,2012,World,All Products,Export,Exports (in US$ Mil),531.227039
Bhutan,2012,World,All Products,Import,Imports (in US$ Mil),991.702621
Bhutan,2007,World,All Products,Tariff,Duty Free Imports (US$ Thousand),378464.629
Bhutan,2007,...,...,Tariff,No. Of Tariff Agreement,4
Bhutan,2012,...,...,Import,No. Of Import partners,62
Bhutan,2012,...,...,Import,No. Of Import products,3266
Bhutan,2012,...,...,Export,No. Of Export partners,30
Bhutan,2012,...,...,Export,No. Of Export products,332
Bhutan,2019,...,...,Others,Ease of Doing Business Rank,89
Bhutan,2019,...,...,Others,Trading Across Borders Rank,30
Bhutan,2018,...,...,Others,Population,754394
Bhutan,2016,...,...,Others,LPI Score,2.321436
Bhutan,2018,...,...,Others,CPIA Trade Ratings,3.5
Bhutan,2016,...,...,Others,LPI Rank,135
Bhutan,2012,India,All Products,Export,Partner share(%)-Top 5 Export Partner,93.6919
Bhutan,2012,Bangladesh,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1244
Bhutan,2012,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,0.4397
Bhutan,2012,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,0.4002
Bhutan,2012,Nepal,All Products,Export,Partner share(%)-Top 5 Export Partner,0.3781
Bhutan,2012,India,All Products,Import,Partner share(%)-Top 5 Import Partner,78.801
Bhutan,2012,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,3.1245
Bhutan,2012,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5053
Bhutan,2012,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.3746
Bhutan,2012,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,1.7699
Bhutan,2012,World,Vegetable,Export,Export Product share(%),5.6598
Bhutan,2012,World,Textiles and Clothing,Export,Export Product share(%),0.1668
Bhutan,2012,World,Intermediate goods,Export,Export Product share(%),84.353
Bhutan,2012,World,Minerals,Export,Export Product share(%),11.2926
Bhutan,2012,World,Stone and Glass,Export,Export Product share(%),0.4459
Bhutan,2012,World,Capital goods,Export,Export Product share(%),0.013
Bhutan,2012,World,Chemicals,Export,Export Product share(%),5.7773
Bhutan,2012,World,Mach and Elec,Export,Export Product share(%),0.0221
Bhutan,2012,World,Food Products,Export,Export Product share(%),1.6832
Bhutan,2012,World,Footwear,Export,Export Product share(%),0.0002
Bhutan,2012,World,Consumer goods,Export,Export Product share(%),4.2438
Bhutan,2012,World,Fuels,Export,Export Product share(%),32.9166
Bhutan,2012,World,Metals,Export,Export Product share(%),39.4825
Bhutan,2012,World,Plastic or Rubber,Export,Export Product share(%),1.1656
Bhutan,2012,World,Transportation,Export,Export Product share(%),
Bhutan,2012,World,Animal,Export,Export Product share(%),0.0203
Bhutan,2012,World,Wood,Export,Export Product share(%),1.3027
Bhutan,2012,World,Raw materials,Export,Export Product share(%),11.3879
Bhutan,2012,World,Hides and Skins,Export,Export Product share(%),0.0002
Bhutan,2012,World,Miscellaneous,Export,Export Product share(%),0.0639
Bhutan,2012,World,Consumer goods,Import,Import Product share(%),37.4798
Bhutan,2012,World,Capital goods,Import,Import Product share(%),18.9815
Bhutan,2012,World,Intermediate goods,Import,Import Product share(%),31.5493
Bhutan,2012,World,Raw materials,Import,Import Product share(%),11.1609
Bhutan,2007,World,Consumer goods,Tariff,Weighted Average (%),11.31966369535
Bhutan,2007,World,Intermediate goods,Tariff,Weighted Average (%),15.1390568448172
Bhutan,2007,World,Capital goods,Tariff,Weighted Average (%),2.63414150140348
Bhutan,2007,World,Raw materials,Tariff,Weighted Average (%),0.704134981059245
Bhutan,2012,World,All Products,Trade Indicator,World Growth (%),-0.0214717700142586
Bhutan,2012,World,All Products,Trade Indicator,Country Growth (%),-9.03331023508205
Bhutan,2007,World,All Products,Tariff,Simple Average (%),11.102252935451
Bhutan,2007,World,All Products,Tariff,Weighted Average (%),9.96862496292255
Bhutan,2007,World,All Products,Tariff,Maximum Rate (%),100
Bhutan,2007,World,All Products,Tariff,Duty Free Tariff Lines Share (%),54.1176470588235
Bhutan,2012,...,...,Trade Indicator,Index of export market penetration,1.14400448262981
Bhutan,2012,...,...,Trade Indicator,HH Market concentration index,0.746154773215461
